Age,DHB,Popn
0 to 4,New Zealand,305510
0 to 4,Northland,12310
0 to 4,Waitemata,39970
0 to 4,Auckland,24800
0 to 4,Counties Manukau,43740
0 to 4,Waikato,28810
0 to 4,Lakes,7750
0 to 4,Bay of Plenty,16520
0 to 4,Tairawhiti,3610
0 to 4,Taranaki,7940
0 to 4,Hawke's Bay,10930
0 to 4,Whanganui,4260
0 to 4,MidCentral,11600
0 to 4,Hutt Valley,10420
0 to 4,Capital and Coast,16180
0 to 4,Wairarapa,2820
0 to 4,Nelson Marlborough,7830
0 to 4,West Coast,1720
0 to 4,Canterbury,33140
0 to 4,South Canterbury,3220
0 to 4,Southern,17930
5 to 9,New Zealand,325570
5 to 9,Northland,13490
5 to 9,Waitemata,42310
5 to 9,Auckland,26550
5 to 9,Counties Manukau,46170
5 to 9,Waikato,30360
5 to 9,Lakes,8220
5 to 9,Bay of Plenty,17800
5 to 9,Tairawhiti,3830
5 to 9,Taranaki,8840
5 to 9,Hawke's Bay,12210
5 to 9,Whanganui,4480
5 to 9,MidCentral,12100
5 to 9,Hutt Valley,10310
5 to 9,Capital and Coast,17920
5 to 9,Wairarapa,2960
5 to 9,Nelson Marlborough,8930
5 to 9,West Coast,1800
5 to 9,Canterbury,34000
5 to 9,South Canterbury,3570
5 to 9,Southern,19740
10 to 14,New Zealand,337540
10 to 14,Northland,14130
10 to 14,Waitemata,41830
10 to 14,Auckland,27810
10 to 14,Counties Manukau,45540
10 to 14,Waikato,31180
10 to 14,Lakes,8750
10 to 14,Bay of Plenty,18270
10 to 14,Tairawhiti,4160
10 to 14,Taranaki,9290
10 to 14,Hawke's Bay,12890
10 to 14,Whanganui,4760
10 to 14,MidCentral,12720
10 to 14,Hutt Valley,10530
10 to 14,Capital and Coast,19370
10 to 14,Wairarapa,3190
10 to 14,Nelson Marlborough,10160
10 to 14,West Coast,1960
10 to 14,Canterbury,36080
10 to 14,South Canterbury,3860
10 to 14,Southern,21050
15 to 19,New Zealand,314880
15 to 19,Northland,11300
15 to 19,Waitemata,37580
15 to 19,Auckland,28690
15 to 19,Counties Manukau,41030
15 to 19,Waikato,28360
15 to 19,Lakes,7290
15 to 19,Bay of Plenty,15790
15 to 19,Tairawhiti,3430
15 to 19,Taranaki,7480
15 to 19,Hawke's Bay,11100
15 to 19,Whanganui,4140
15 to 19,MidCentral,12190
15 to 19,Hutt Valley,9520
15 to 19,Capital and Coast,21740
15 to 19,Wairarapa,2830
15 to 19,Nelson Marlborough,9130
15 to 19,West Coast,1650
15 to 19,Canterbury,35150
15 to 19,South Canterbury,3250
15 to 19,Southern,23240
20 to 24,New Zealand,333260
20 to 24,Northland,9420
20 to 24,Waitemata,40230
20 to 24,Auckland,38280
20 to 24,Counties Manukau,41490
20 to 24,Waikato,28840
20 to 24,Lakes,6800
20 to 24,Bay of Plenty,13670
20 to 24,Tairawhiti,2840
20 to 24,Taranaki,6440
20 to 24,Hawke's Bay,9810
20 to 24,Whanganui,3640
20 to 24,MidCentral,12940
20 to 24,Hutt Valley,9610
20 to 24,Capital and Coast,29610
20 to 24,Wairarapa,2310
20 to 24,Nelson Marlborough,8030
20 to 24,West Coast,1400
